time,open,high,low,close,Volume,Volume MA
2023-02-14T12:00:00Z,163,163.15,162.99,163.15,10,31884.35
2023-02-14T13:00:00Z,162.97,163.24,162.75,162.81,47,29921
2023-02-14T14:00:00Z,162.62,162.94,161.95,162.47,32416,28449.3
2023-02-14T15:00:00Z,162.43,162.59,161.79,161.79,47454,25380.7
2023-02-14T16:00:00Z,161.77,162.44,161.77,161.89,37983,26615.4
2023-02-14T17:00:00Z,161.85,162.57,161.85,162.45,24815,26599.45
2023-02-14T18:00:00Z,162.44,162.93,162.43,162.59,21087,26259.35
2023-02-14T19:00:00Z,162.61,162.66,162.32,162.44,20920,26010.55
2023-02-14T20:00:00Z,162.45,162.71,161.95,162.01,75946,28333.85
2023-02-15T14:00:00Z,161.81,161.87,160.87,161.07,17914,27620.6
2023-02-15T15:00:00Z,161.115,161.3,160.73,160.87,18528,23073.45
2023-02-15T16:00:00Z,160.86,161.06,160.45,160.47,40381,25092.45
2023-02-15T17:00:00Z,160.5,160.5,159.65,160.24,36214,26278.6
2023-02-15T18:00:00Z,160.26,160.29,159.875,159.97,50490,28022.85
2023-02-15T19:00:00Z,159.96,160.11,159.535,159.59,62190,30492.25
2023-02-15T20:00:00Z,159.59,160.05,159.3,159.35,184167,39022.2
2023-02-15T21:00:00Z,159.48,159.48,159.48,159.48,256,38486.25
2023-02-16T13:00:00Z,159.84,159.86,159.82,159.86,1103,37271.75
2023-02-16T14:00:00Z,159.58,159.58,158.02,158.08,59639,36578.1
2023-02-16T15:00:00Z,158.07,158.59,157.95,158.4,69660,40061
2023-02-16T16:00:00Z,158.425,159.03,158.4,158.98,59874,43054.2
2023-02-16T17:00:00Z,158.99,159.02,158.84,158.93,67536,46428.65
2023-02-16T18:00:00Z,158.91,159,158.6,158.84,60216,47818.65
2023-02-16T19:00:00Z,158.83,159.62,158.83,159.39,61663,48529.1
2023-02-16T20:00:00Z,159.37,159.48,158.16,158.25,79683,50614.1
2023-02-17T14:00:00Z,157,158.235,156.66,158.04,34882,51117.45
2023-02-17T15:00:00Z,158.04,158.94,157.98,158.24,36415,51883.85
2023-02-17T16:00:00Z,158.25,159.15,158.19,159.035,43696,53022.65
2023-02-17T17:00:00Z,158.99,159.77,158.99,159.25,39219,51186.3
2023-02-17T18:00:00Z,159.25,159.7,159.25,159.63,24252,51503.2
2023-02-17T19:00:00Z,159.67,160.72,159.67,160.72,50185,53086.05
2023-02-17T20:00:00Z,160.74,161.1,160.13,160.37,69621,54548.05
2023-02-21T12:00:00Z,160.26,160.3,160.17,160.18,85,52741.6
2023-02-21T13:00:00Z,160.13,160.13,159.75,159.85,60,50220.1
2023-02-21T14:00:00Z,159.85,160.27,158.65,158.69,60562,50138.7
2023-02-21T15:00:00Z,158.72,159.45,158.63,158.91,51737,43517.2
2023-02-21T16:00:00Z,158.96,159.04,158.27,158.53,47775,45893.15
2023-02-21T17:00:00Z,158.53,158.86,158.31,158.71,27633,47219.65
2023-02-21T18:00:00Z,158.71,158.75,157.98,158.16,31331,45804.25
2023-02-21T19:00:00Z,158.16,158.35,157.9,158.29,37801,44211.3
2023-02-21T20:00:00Z,158.29,158.5,157.9,158.02,86258,45530.5
2023-02-22T14:00:00Z,158.65,158.65,157.75,158.35,18041,43055.75
2023-02-22T15:00:00Z,158.4,158.85,158.28,158.46,30749,41582.4
2023-02-22T16:00:00Z,158.36,158.57,158.05,158.21,28616,39930.05
2023-02-22T17:00:00Z,158.24,158.51,158.06,158.26,32721,37581.95
2023-02-22T18:00:00Z,158.27,158.36,158.08,158.24,48887,38282.2
2023-02-22T19:00:00Z,158.25,158.34,157.48,157.63,107969,41859.9
2023-02-22T20:00:00Z,157.63,157.85,157.38,157.76,130200,46185.1
2023-02-22T21:00:00Z,157.87,157.87,157.78,157.78,11,44224.7
2023-02-23T12:00:00Z,157.88,158,157.83,158,9,43012.55
