time,open,high,low,close,Volume,Volume MA
1676376000,163,163.15,162.99,163.15,10,31884.35
1676379600,162.97,163.24,162.75,162.81,47,29921
1676383200,162.62,162.94,161.95,162.47,32416,28449.3
1676386800,162.43,162.59,161.79,161.79,47454,25380.7
1676390400,161.77,162.44,161.77,161.89,37983,26615.4
1676394000,161.85,162.57,161.85,162.45,24815,26599.45
1676397600,162.44,162.93,162.43,162.59,21087,26259.35
1676401200,162.61,162.66,162.32,162.44,20920,26010.55
1676404800,162.45,162.71,161.95,162.01,75946,28333.85
1676469600,161.81,161.87,160.87,161.07,17914,27620.6
1676473200,161.115,161.3,160.73,160.87,18528,23073.45
1676476800,160.86,161.06,160.45,160.47,40381,25092.45
1676480400,160.5,160.5,159.65,160.24,36214,26278.6
1676484000,160.26,160.29,159.875,159.97,50490,28022.85
1676487600,159.96,160.11,159.535,159.59,62190,30492.25
1676491200,159.59,160.05,159.3,159.35,184167,39022.2
1676494800,159.48,159.48,159.48,159.48,256,38486.25
1676552400,159.84,159.86,159.82,159.86,1103,37271.75
1676556000,159.58,159.58,158.02,158.08,59639,36578.1
1676559600,158.07,158.59,157.95,158.4,69660,40061
1676563200,158.425,159.03,158.4,158.98,59874,43054.2
1676566800,158.99,159.02,158.84,158.93,67536,46428.65
1676570400,158.91,159,158.6,158.84,60216,47818.65
1676574000,158.83,159.62,158.83,159.39,61663,48529.1
1676577600,159.37,159.48,158.16,158.25,79683,50614.1
1676642400,157,158.235,156.66,158.04,34882,51117.45
1676646000,158.04,158.94,157.98,158.24,36415,51883.85
1676649600,158.25,159.15,158.19,159.035,43696,53022.65
1676653200,158.99,159.77,158.99,159.25,39219,51186.3
1676656800,159.25,159.7,159.25,159.63,24252,51503.2
1676660400,159.67,160.72,159.67,160.72,50185,53086.05
1676664000,160.74,161.1,160.13,160.37,69621,54548.05
1676980800,160.26,160.3,160.17,160.18,85,52741.6
1676984400,160.13,160.13,159.75,159.85,60,50220.1
1676988000,159.85,160.27,158.65,158.69,60562,50138.7
1676991600,158.72,159.45,158.63,158.91,51737,43517.2
1676995200,158.96,159.04,158.27,158.53,47775,45893.15
1676998800,158.53,158.86,158.31,158.71,27633,47219.65
1677002400,158.71,158.75,157.98,158.16,31331,45804.25
1677006000,158.16,158.35,157.9,158.29,37801,44211.3
1677009600,158.29,158.5,157.9,158.02,86258,45530.5
1677074400,158.65,158.65,157.75,158.35,18041,43055.75
1677078000,158.4,158.85,158.28,158.46,30749,41582.4
1677081600,158.36,158.57,158.05,158.21,28616,39930.05
1677085200,158.24,158.51,158.06,158.26,32721,37581.95
1677088800,158.27,158.36,158.08,158.24,48887,38282.2
1677092400,158.25,158.34,157.48,157.63,107969,41859.9
1677096000,157.63,157.85,157.38,157.76,130200,46185.1
1677099600,157.87,157.87,157.78,157.78,11,44224.7
1677153600,157.88,158,157.83,158,9,43012.55
1677157200,158.26,158.26,157.83,157.86,39,40505.25
1677160800,157.85,157.98,156.78,157.97,46404,39344.4
1677164400,158.05,158.58,157.69,157.75,52928,41986.55
1677168000,157.76,157.88,156.93,156.95,31073,43537.2
1677171600,156.97,157.19,156.68,157.08,35075,42262.85
1677175200,157.05,157.11,156.74,156.93,26022,40977.1
1677178800,156.95,157.92,156.86,157.72,49476,41062.15
1677182400,157.72,158.11,157.72,157.74,118759,45618.45
1677186000,157.86,157.86,157.72,157.72,7,44052.25
1677240000,157.56,157.56,157.44,157.46,32,42163.8
1677243600,157.4,157.42,157.1,157.19,28,37852.3
1677247200,157.11,157.11,155.54,155.7,33610,38630.75
1677250800,155.69,155.8,155.22,155.49,52954,39741
1677254400,155.55,156.37,155.5,155.86,42895,40454.95
